,imdb_id,tmdb_rating,tmdb_votes,popularity
4952,tt1921070,5.5,62,5.256
4953,tt1921149,7.1,388,8.327
4954,tt1922561,7.0,40,3.349
4955,tt1922612,7.2,160,9.395
4956,tt1922645,5.8,28,2.092
4957,tt1922748,5.5,2,1.051
4958,tt1922751,8.0,2,1.462
4959,tt1922777,6.8,3319,11.464
4960,tt1924394,7.1,300,8.635
4961,tt1924396,7.9,1745,11.126
4962,tt1924429,6.6,1468,11.192
4963,tt1924435,6.3,1846,15.261
4964,tt1925421,7.4,107,6.912
4965,tt1929263,6.4,425,9.368
4966,tt1931388,7.5,34,2.363
4967,tt1931435,5.8,750,10.077
4968,tt1931470,7.1,121,5.813
4969,tt1931533,6.8,2386,13.496
4970,tt1931549,6.3,9,3.713
4971,tt1931569,5.6,8,1.499
4972,tt1934231,7.2,92,5.577
4973,tt1934269,7.2,36,3.222
4974,tt1934335,6.9,13,1.644
4975,tt1934452,4.1,38,5.128
4976,tt1935089,5.8,75,11.9
4977,tt1935194,6.1,576,9.378
4978,tt1935859,6.7,6932,18.867
4979,tt1935897,5.4,672,11.344
4980,tt1937092,3.7,9,2.104
4981,tt1937118,6.6,436,5.74
4982,tt1937133,5.5,416,5.221
4983,tt1937222,4.8,9,2.535
4984,tt1937390,6.9,2001,2.85
4985,tt1939659,5.9,2986,12.378
4986,tt1942971,6.2,33,4.93
4987,tt1945062,4.6,160,9.337
4988,tt1945087,5.5,11,2.476
4989,tt1946347,5.1,76,6.301
4990,tt1946502,6.0,126,10.919
4991,tt1948150,7.1,68,4.75
4992,tt1949548,4.8,26,2.836
4993,tt1950135,4.0,16,3.136
4994,tt1950186,7.8,1975,105.292
4995,tt1951166,5.8,77,5.547
4996,tt1951181,6.3,504,8.532
4997,tt1951216,5.5,64,5.463
4998,tt1951261,6.1,5757,19.062
4999,tt1951264,7.4,12251,27.398
5000,tt1951265,6.8,11095,48.468
5001,tt1951266,6.9,8389,27.397
5002,tt1954204,7.0,1,3.422
5003,tt1954315,6.7,174,5.41
5004,tt1954352,6.8,24,5.019
5005,tt1954598,6.0,41,3.545
5006,tt1954701,7.2,195,6.816
5007,tt1956620,5.3,2981,20.918
5008,tt1956697,6.3,13,1.404
5009,tt1959490,5.6,4368,11.771
5010,tt1959550,5.0,1,0.886
5011,tt1959563,6.7,3587,25.407
5012,tt1961175,6.3,1823,11.859
5013,tt1961447,6.0,3,1.837
5014,tt1961604,1.9,8,3.727
5015,tt1964418,6.2,5045,30.096
5016,tt1964624,7.4,473,8.527
5017,tt1965065,6.0,71,4.306
5018,tt1965264,6.1,7,1.646
5019,tt1966359,5.8,355,10.165
5020,tt1966566,5.9,151,0.6
5021,tt1966604,7.4,453,8.724
5022,tt1967614,5.8,83,6.285
5023,tt1971352,6.4,377,9.663
5024,tt1971365,3.8,8,2.135
5025,tt1971403,4.4,9,2.955
5026,tt1972571,6.5,853,10.986
5027,tt1972591,6.5,3760,33.139
5028,tt1972646,7.0,22,3.566
5029,tt1972663,7.2,149,8.459
5030,tt1972779,7.4,1741,10.329
5031,tt1974382,5.9,29,4.191
5032,tt1974419,6.5,2377,16.398
5033,tt1974420,5.9,300,8.916
5034,tt1975205,3.8,5,1.663
5035,tt1976000,5.8,429,6.706
5036,tt1976009,5.8,1334,9.107
5037,tt1976608,7.0,2,1.157
5038,tt1977953,6.1,4,2.502
5039,tt1978480,6.6,15,3.328
5040,tt1979172,6.6,24,3.893
5041,tt1979320,7.7,4396,14.209
5042,tt1979376,7.6,3983,56.338
5043,tt1979388,6.7,3518,15.578
5044,tt1980209,6.1,2821,12.466
5045,tt1980986,5.3,54,4.525
5046,tt1981080,6.0,68,6.392
5047,tt1981107,6.8,446,8.705
5048,tt1981115,6.6,11425,31.556
5049,tt1981128,5.8,2624,23.616
5050,tt1981677,7.3,4709,15.222
5051,tt1981703,8.0,1,0.933
5052,tt1982113,7.1,9,1.898
5053,tt1985017,5.5,73,7.017
5054,tt1985019,6.6,315,8.499
5055,tt1985949,6.0,2172,21.012
5056,tt1985966,6.4,1936,17.061
5057,tt1985981,6.4,52,5.053
5058,tt1986161,5.9,7,3.099
5059,tt1986769,5.6,10,2.931
5060,tt1986953,4.4,73,6.374
5061,tt1986998,6.9,5,4.417
5062,tt1989485,4.7,43,5.055
5063,tt1989593,6.9,10,2.827
5064,tt1989712,6.5,55,3.514
5065,tt1990181,5.6,116,8.545
5066,tt1990217,6.3,18,3.163
5067,tt1990314,6.9,681,8.068
5068,tt1991245,5.0,953,11.319
5069,tt1992138,6.3,19,1.307
5070,tt1992156,5.7,12,1.72
5071,tt1992193,7.2,19,2.39
5072,tt1994534,0.0,0,0.6
5073,tt1995260,3.9,16,4.311
5074,tt1995304,6.7,19,2.198
5075,tt1995390,6.0,313,9.837
5076,tt1996264,5.9,181,7.278
5077,tt1996310,6.9,156,8.785
5078,tt1996346,3.5,4,3.05
5079,tt1997621,0.0,0,0.606
5080,tt1999192,7.5,85,9.599
5081,tt1999890,5.5,432,9.199
5082,tt1999987,6.0,216,6.975
5083,tt2002718,5.5,1212,12.694
5084,tt2004271,6.7,11,2.678
5085,tt2004420,6.2,4997,15.329
5086,tt2005151,6.8,2751,16.512
5087,tt2005153,6.0,12,3.626
5088,tt2006295,6.3,643,9.791
5089,tt2007360,6.3,60,5.397
5090,tt2007387,7.2,72,6.439
5091,tt2007993,7.4,36,3.833
5092,tt2011159,5.8,353,14.537
5093,tt2011183,6.0,12,1.473
5094,tt2011232,7.1,5,3.017
5095,tt2011265,8.7,3,1.208
5096,tt2011953,6.1,51,4.32
5097,tt2012011,6.3,110,5.75
5098,tt2014338,7.3,183,7.786
5099,tt2014392,7.3,22,0.6
5100,tt2015370,8.0,1,0.722
5101,tt2015381,7.9,19962,25.581
5102,tt2016894,5.8,86,5.452
5103,tt2016940,6.0,489,9.376
5104,tt2017020,5.7,1371,11.072
5105,tt2017038,6.6,1035,9.64
5106,tt2017561,6.9,146,11.302
5107,tt2018086,6.1,41,0.6
5108,tt2023453,6.1,506,9.844
5109,tt2023587,6.1,2742,12.89
5110,tt2023690,6.4,291,7.169
5111,tt2024432,5.8,2411,10.488
5112,tt2024469,6.8,3617,11.391
5113,tt2024519,7.8,679,6.904
5114,tt2024544,7.9,7560,24.831
5115,tt2025526,7.1,121,8.223
5116,tt2025690,6.4,1039,14.15
5117,tt2027064,5.8,68,4.734
5118,tt2027140,6.2,388,7.433
5119,tt2033981,6.5,55,5.679
5120,tt2034031,6.1,796,7.694
